AIRPORT,year,month,arr_flights,arr_del15,arr_cancelled,arr_diverted,arr_delay,def_avg_Delay,aircraft_delay(min/flight),nas_delay(min/flight),weather_delay(min/flight),carrier_delay(min/flight),security_delay(min/flight)
ABE,6029,15,391.0,119.0,12.0,3.0,8453.0,-2605.9348635686206,1.9536835787957725,1.8959709161352514,2.112518460096478,1.5734252622291394,0.9504817873444931
ABI,10075,33,1026.0,224.0,20.0,5.0,11507.0,-3153.8914392810343,1.4309984667238373,1.0395282335721336,2.2078237848208424,1.1067556476655669,1.220141112716601
ABQ,221093,743,140850.0,26747.0,781.0,347.0,1214923.0,530594.3883358169,8.682356972178626,5.353606004569603,10.648411262355493,7.687052493257315,6.416963555188895
ACK,6028,24,251.0,84.0,24.0,6.0,5261.0,-3740.9348635686206,2.461676638165554,2.7700152519042054,4.746399531587381,2.68769716225136,3.2595934033612224
ACT,2018,7,146.0,35.0,10.0,1.0,1688.0,-906.9782878562067,0.3141415181790091,0.2351927323650335,0.911444288642002,0.3546593458660237,0.3535130357931949
ACV,2005,9,339.0,52.0,8.0,1.0,1934.0,-1426.9782878562069,0.1042281219272369,0.079646017699115,0.1420845624385447,0.1086529006882989,0.0766961651917404
ACY,6052,28,900.0,222.0,8.0,4.0,16730.0,1150.0651364313794,0.9463982232291603,0.6595911229627308,1.113623230971882,0.6250160920900578,0.466207559668038
AEX,8030,33,463.0,88.0,17.0,4.0,4319.0,-4976.913151424827,2.9157199218087078,1.477498600162138,2.5252600186727987,2.971381061582285,2.875477071818808
AGS,6026,24,487.0,139.0,15.0,4.0,6458.0,-3017.9348635686206,1.3565129703532017,1.1354084745255582,1.0399044491525211,0.736952597153091,0.6194178635497625
AKN,10026,34,116.0,44.0,7.0,9.0,2501.0,-7557.891439281035,15.609627967822323,7.786769765093782,10.963765874315975,13.33023948001334,11.78260396387842
ALB,30173,86,4348.0,1017.0,105.0,28.0,51353.0,618.3256821568971,4.676167744980557,2.7727869754237373,5.600610633567225,3.621582199791754,4.9419431519424455
AMA,46199,139,5367.0,1214.0,110.0,53.0,59093.0,-8352.500620692761,6.44893871189054,4.389639226558824,10.244688252917914,4.660199860526815,3.591275771424177
ANC,263489,884,162029.0,30226.0,3397.0,277.0,1458266.0,457998.8442908365,6.347668991446913,3.33566983456483,6.545673836174806,5.865235635674853,3.836876623454268
APF,2007,8,57.0,34.0,1.0,1.0,1696.0,-1339.9782878562069,0.8641868262088499,0.8540218470705065,0.9746588693957116,0.9056603773584906,0.2807017543859649
ART,2019,3,62.0,12.0,2.0,2.0,1250.0,-1168.9782878562069,2.56102877070619,1.9620377655389456,1.2983870967741935,0.8936355710549259,4.032258064516129
ASE,44286,122,10574.0,3055.0,708.0,444.0,187996.0,31784.477667163443,3.7667352986408265,2.7538707663955893,4.976218697277675,4.0210987897795105,3.6632245304484736
ATL,1094336,3563,4217772.0,796949.0,67484.0,9135.0,48590885.0,13685502.811406102,30.557717616824654,21.301649313293964,38.41194883758391,28.015117850026286,20.90584710872774
ATW,6028,22,436.0,151.0,19.0,5.0,8706.0,-2100.9348635686206,1.0431009359210575,0.8693039896323147,1.52136683682349,1.2485851527169514,0.996875939060379
AUS,307976,967,182786.0,37177.0,1650.0,461.0,1872189.0,714128.3219579998,13.463313831149414,7.860454198963684,17.709578438137385,11.414161388926615,8.731381725749841
AVL,20149,61,1966.0,489.0,40.0,23.0,32535.0,-708.7828785620686,3.869391041472384,3.1047797084988584,3.8370966609184425,3.6719187954726777,2.780952172690697
