carrier_name,year,month,arr_flights,arr_del15,arr_cancelled,arr_diverted,arr_delay,def_avg_Delay,aircraft_delay(min/flight),nas_delay(min/flight),weather_delay(min/flight),carrier_delay(min/flight),security_delay(min/flight)
ATA Airlines d/b/a ATA,38076,119,31878.0,6443.0,437.0,50.0,411255.0,137468.41253073205,2.0026755372514735,1.0298645387189203,1.8574793550388833,1.4425894601659117,0.8532206170271034
Alaska Airlines Inc.,1297217,4269,1197926.0,213502.0,15385.0,2446.0,10731444.0,3618192.004332796,91.92793193703467,54.73693872156764,89.28293658754676,98.34215115806516,61.20672532920411
Allegiant Air,127181,326,36854.0,9207.0,1239.0,142.0,725316.0,234296.36786505886,12.643597127194328,8.291653187635795,14.119937515961993,15.598210104520824,5.271054946728022
Aloha Airlines Inc.,4015,3,3066.0,167.0,22.0,2.0,6207.0,-118.95657571241375,0.0503961721042998,0.0386071755364783,0.0284199008310085,0.0502483630260154,0.0494242000969487
America West Airlines Inc.,178371,611,245686.0,39735.0,3494.0,284.0,1883085.0,453678.93238079734,7.736411770693363,5.150560963995321,9.069546209758407,6.975657449854535,4.223227404433233
American Airlines Inc.,4364112,14295,6830431.0,1340231.0,127661.0,22356.0,83778555.0,26826438.071926575,149.58362369323683,91.3200560690135,175.93218775208803,127.82609136532473,105.13084986572558
American Eagle Airlines Inc.,766897,2570,1567345.0,341037.0,60535.0,4708.0,21634041.0,8780190.294038944,22.860126542960703,17.035989248492807,32.9320915625084,23.767611678360257,25.378947991994174
Atlantic Coast Airlines,74130,247,121854.0,27182.0,4327.0,310.0,1837379.0,588701.8033493203,3.9836403202750414,3.0422650053200173,4.713501887039832,2.8410405776933243,1.9284130617229598
Atlantic Southeast Airlines,447556,1544,1056929.0,264251.0,30190.0,2186.0,16251815.0,3706490.8418080793,37.34314406196414,28.991843956487205,46.39904697957293,36.637944923424065,32.00483266426598
Comair Inc.,481514,1563,613836.0,124990.0,21554.0,1354.0,6857126.0,-99260.78908548983,23.883766487328593,16.307129848261937,26.11395564472551,22.149094075366158,16.149557060468414
Continental Air Lines Inc.,1280700,3942,1351910.0,298444.0,12195.0,5373.0,17706551.0,3639943.852347791,89.66335524331113,61.230943610647294,102.65931101211116,72.5277806827448,46.485528087152744
Delta Air Lines Inc.,1317423,4137,3703431.0,605807.0,42048.0,8177.0,36620520.0,9818272.22145417,33.182588866081176,20.429989094724462,44.75737501585279,33.99089156119988,37.21823538777982
Endeavor Air Inc.,72574,288,67532.0,9740.0,1153.0,124.0,722468.0,234696.78163717646,5.738044244976123,3.642938145457838,4.3586297733889445,6.932027695194893,4.273951247021962
Envoy Air,479915,1511,590820.0,124341.0,24376.0,1834.0,8334825.0,2852233.167490241,42.9620768329313,29.25613904455404,59.246465212712316,40.113924464487916,31.355476724462278
ExpressJet Airlines Inc.,2783492,8749,2197162.0,490174.0,55028.0,8893.0,31098044.0,9278982.093031332,294.6287070501312,187.67048096837726,339.4642116649034,251.4684966423251,167.06688139866438
Frontier Airlines Inc.,30099,97,49404.0,9029.0,208.0,44.0,413304.0,109092.32568215688,0.9494076207887963,0.6861854421293982,0.9883620215246076,0.7378008121765233,2.6164521599382486
Hawaiian Airlines Inc.,145062,444,161071.0,16192.0,460.0,146.0,742289.0,145040.56327435296,1.613510921861657,1.9348774358939596,2.1987757238611327,1.9354973490446883,1.5837281906808813
Independence Air,44103,189,82441.0,15068.0,2093.0,81.0,886201.0,501509.4776671634,3.328945335034819,2.4739143592855473,4.206585485768539,2.33726264197089,1.189151718892651
JetBlue Airways,2144043,6506,1638935.0,409035.0,32642.0,5312.0,27848530.0,10044255.123433057,147.2555774776049,97.89104542662571,224.9154163138164,125.81928511386711,104.13846084362163
Mesa Airlines Inc.,649646,2070,548638.0,113364.0,20145.0,1542.0,8210808.0,2791316.0130224694,51.80588582973954,27.985809608773657,57.984842918364684,44.03640459836543,31.069422510108154
Northwest Airlines Inc.,820396,2692,1415812.0,268331.0,19481.0,2835.0,14061026.0,3063723.880266836,32.57750496418188,21.870955098636387,42.23922602859676,31.40047533023626,25.400930645552947
PSA Airlines Inc.,306848,907,339911.0,56024.0,13946.0,1088.0,3995245.0,1870184.3002458639,40.72470588924531,22.282693442393967,45.26998593766277,31.741517823753348,42.85367261259539
Pinnacle Airlines Inc.,267241,841,356559.0,64004.0,10751.0,927.0,3935901.0,1358127.8877151273,15.090727537229702,8.41933652732914,16.444287140576577,13.773401805931336,10.159553072116616
Republic Airline,280607,844,190660.0,35765.0,5709.0,609.0,2512684.0,622236.0179879868,15.56474375991657,8.831769039877578,20.957407084717115,13.519125861413679,11.360569406993669
SkyWest Airlines Inc.,2815681,9002,3420159.0,621421.0,75035.0,7593.0,41799464.0,14928680.375288729,134.79137789724447,93.72373116442742,189.40161383714837,152.75176856601075,93.07500448401613
Southwest Airlines Co.,9185647,29512,12341348.0,2270036.0,169695.0,30061.0,111064862.0,52873206.15936369,168.8908096637955,123.70391510035599,240.4561744489765,143.65081026565755,124.55518465297801
Spirit Air Lines,585055,1877,234399.0,51950.0,5244.0,707.0,3628092.0,601616.2965216989,41.58883606611466,29.965512219249607,41.07474895529764,35.104551080596394,25.224294378722014
US Airways Inc.,1966099,5931,2173786.0,396232.0,34227.0,4500.0,19508084.0,4649196.234476712,84.20032817385167,58.34211572748036,119.68686314968866,71.63309271609457,54.78968928531632
United Air Lines Inc.,824707,2661,1411969.0,284729.0,21621.0,3526.0,17899568.0,6214828.901978992,23.525942799609314,13.42244847314037,27.567569131907366,18.046352744314273,16.23426063601925
Virgin America,217654,678,125836.0,30699.0,1624.0,605.0,2030865.0,422138.3449115293,10.393830307617808,9.202031969589708,6.689936578473351,8.671554932586444,9.574046082016155
