year,month,carrier,carrier_name,AIRPORT,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,def_avg_Delay
2004,1,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",3012.0,756.0,163.51,33.04,427.21,1.6,130.64,38.0,1.0,31310.0,8466.0,2516.0,13218.0,100.0,7010.0,5371.021712143793
2004,1,EV,Atlantic Southeast Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4322.0,582.0,152.53,91.84,270.74,4.89,62.0,128.0,26.0,31531.0,10027.0,7696.0,10580.0,134.0,3094.0,1455.0217121437931
2004,1,HA,Hawaiian Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",1819.0,200.0,88.3,3.06,5.46,3.8,99.37,8.0,1.0,8259.0,3802.0,66.0,501.0,78.0,3812.0,2173.021712143793
2004,1,HP,America West Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",697.0,160.0,56.91,1.1,76.93,0.81,24.25,9.0,2.0,5866.0,2354.0,149.0,2449.0,21.0,893.0,-745.9782878562069
2004,1,HP,America West Airlines Inc.,PDX,"Portland, OR: Portland International",204.0,54.0,20.32,0.86,25.34,1.06,6.42,25.0,1.0,2037.0,955.0,19.0,657.0,20.0,386.0,-1252.9782878562069
2004,1,HP,America West Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5603.0,841.0,233.36,32.03,346.21,11.6,217.8,115.0,5.0,44575.0,18493.0,3966.0,10641.0,447.0,11028.0,9389.021712143793
2004,1,HP,America West Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",270.0,67.0,28.61,1.76,21.49,0.36,14.78,3.0,2.0,2741.0,1354.0,76.0,562.0,8.0,741.0,-897.9782878562069
2004,1,MQ,American Eagle Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",196.0,68.0,19.25,4.85,22.52,1.0,20.38,20.0,1.0,3504.0,987.0,286.0,817.0,50.0,1364.0,-274.97828785620686
2004,1,MQ,American Eagle Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5828.0,787.0,85.76,41.79,302.1,1.25,356.1,118.0,24.0,44560.0,9243.0,6650.0,11404.0,27.0,17236.0,15597.021712143793
2004,1,MQ,American Eagle Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2065.0,162.0,27.07,2.17,54.91,0.19,77.65,32.0,1.0,7709.0,1686.0,125.0,1715.0,5.0,4178.0,2539.021712143793
2004,1,MQ,American Eagle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",6753.0,2978.0,158.56,40.71,1588.22,1.62,1188.89,746.0,18.0,194344.0,14387.0,4473.0,93492.0,65.0,81927.0,80288.02171214379
