year,month,carrier,carrier_name,AIRPORT,airport_name,arr_flights,arr_del15,arr_cancelled,arr_diverted,arr_delay,def_avg_Delay,aircraft_delay(min/flight),nas_delay(min/flight),weather_delay(min/flight),carrier_delay(min/flight),security_delay(min/flight)
2004,1,DL,Delta Air Lines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",3012.0,756.0,38.0,1.0,31310.0,5371.021712143793,0.017815043154591273,0.010272339634230103,0.025282244709619955,0.017190122757700165,0.020750332005312084
2004,1,EV,Atlantic Southeast Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4322.0,582.0,128.0,26.0,31531.0,1455.0217121437931,0.011546327118568166,0.009041666425954374,0.019388687970306687,0.015210061922411665,0.006340319987432918
2004,1,HA,Hawaiian Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",1819.0,200.0,8.0,1.0,8259.0,2173.021712143793,0.021089432971425313,0.050444333017175234,0.011857409263870473,0.023671114702800502,0.011284395706142763
2004,1,HP,America West Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",697.0,160.0,9.0,2.0,5866.0,-745.9782878562069,0.05283320268011655,0.04567307737138664,0.19433937654884567,0.05934513126643872,0.037196450395876504
2004,1,HP,America West Airlines Inc.,PDX,"Portland, OR: Portland International",204.0,54.0,25.0,1.0,2037.0,-1252.9782878562069,0.294728483293629,0.12709503690979154,0.10829913360693115,0.23038250733364213,0.09248982611912689
2004,1,HP,America West Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5603.0,841.0,115.0,5.0,44575.0,9389.021712143793,0.00903687467703498,0.005485575701632893,0.02209912857775614,0.014143611908772854,0.0068774732747850596
2004,1,HP,America West Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",270.0,67.0,3.0,2.0,2741.0,-897.9782878562069,0.18568636295293942,0.09685814246074832,0.15993265993265993,0.17528188796975935,0.0823045267489712
2004,1,MQ,American Eagle Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",196.0,68.0,20.0,1.0,3504.0,-274.97828785620686,0.341471230297811,0.18509624098307176,0.3008626130864717,0.26159554730983303,0.25510204081632654
2004,1,MQ,American Eagle Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5828.0,787.0,118.0,24.0,44560.0,15597.021712143793,0.008305101961557535,0.006477194527349959,0.027304217265692453,0.018493053990514142,0.0037062457103637612
2004,1,MQ,American Eagle Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2065.0,162.0,32.0,1.0,7709.0,2539.021712143793,0.026055950445049728,0.01512490392599292,0.027895247765590655,0.030161244589625495,0.012743723716069836
2004,1,MQ,American Eagle Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",6753.0,2978.0,746.0,18.0,194344.0,80288.02171214379,0.010204427120587964,0.008716999880075519,0.016270505502017116,0.01343630509622886,0.005941575120705383
2004,1,NW,Northwest Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",575.0,133.0,13.0,1.0,5354.0,-1017.9782878562067,0.07917888563049853,0.06222954873274264,0.10637399746728576,0.07955758962623952,0.029565217391304348
2004,1,NW,Northwest Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",8975.0,1839.0,236.0,9.0,80812.0,18231.021712143796,0.005879661062839728,0.0034412169016463296,0.007291023729867315,0.007477899235686742,0.004549044167364909
2004,1,NW,Northwest Airlines Inc.,MEM,"Memphis, TN: Memphis International",2654.0,404.0,23.0,2.0,22303.0,2343.021712143793,0.021315198035961342,0.01159973751319379,0.04063143213847866,0.03327468372665447,0.010707698026753082
2004,1,NW,Northwest Airlines Inc.,MKE,"Milwaukee, WI: General Mitchell International",626.0,164.0,8.0,1.0,6431.0,-210.9782878562069,0.08486421725239617,0.051826245374935846,0.0879981607591625,0.07166703418991892,0.04957585105210973
2004,1,NW,Northwest Airlines Inc.,MSP,"Minneapolis, MN: Minneapolis-St Paul International",9327.0,1925.0,168.0,8.0,85664.0,19392.021712143796,0.00608958492594612,0.00340918968462035,0.006843904770837608,0.00711638931794624,0.003956269936923568
2004,1,OH,Comair Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",3048.0,917.0,104.0,1.0,48906.0,500.02171214379314,0.01861463271998162,0.012378849153347565,0.020660813533052484,0.020789493150090932,0.00755113944090322
2004,1,OH,Comair Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",9403.0,1947.0,463.0,4.0,111644.0,2920.021712143793,0.004607919237315886,0.004153906990605399,0.006822184522765222,0.007321590634682317,0.004983088777285917
2004,1,OO,SkyWest Airlines Inc.,CPR,"Casper, WY: Casper/Natrona County International",276.0,85.0,10.0,1.0,4453.0,-462.97828785620686,0.18525519848771266,0.1381340579710145,0.43685300207039335,0.1659577819785759,0.07608695652173914
2004,1,OO,SkyWest Airlines Inc.,DEN,"Denver, CO: Denver International",2502.0,545.0,112.0,1.0,30534.0,6782.021712143793,0.024040767386091125,0.021116440181188384,0.031969605038860475,0.019420889405314237,0.011775195228432638
2004,1,OO,SkyWest Airlines Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",148.0,35.0,5.0,1.0,2002.0,-1390.9782878562069,0.4189189189189189,0.4594594594594595,0.7422779922779923,0.2676962676962677,0.11486486486486487
2004,1,OO,SkyWest Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",186.0,54.0,6.0,1.0,1637.0,-827.9782878562069,0.16770057899090157,0.1881720430107527,0.12365591397849462,0.141439205955335,0.0967741935483871
