AIRPORT_STATE_NAME,year,month,arr_flights,arr_del15,arr_cancelled,arr_diverted,arr_delay,def_avg_Delay,aircraft_delay(min/flight),nas_delay(min/flight),weather_delay(min/flight),carrier_delay(min/flight),security_delay(min/flight),AIRPORT_ID,LATITUDE,LONGITUDE
Alabama,174894,533,31254.0,7324.0,477.0,195.0,392864.0,43435.88895651007,23.17663872816489,13.905337338088726,24.608511343097597,20.349084717052314,14.857079372603279,60823,162.51416667,-433.61138889
Alaska,560842,1890,199511.0,38313.0,4092.0,763.0,1859119.0,399908.0576881178,72.54001463837872,42.16785158612952,67.59938230761763,75.77628146290131,48.68425799891558,171681,802.5536111199999,-1906.0752778
Arizona,1088309,3496,2170576.0,353602.0,27423.0,3200.0,17363210.0,6942680.746269838,25.19463974823684,14.252868139330491,31.687516358455746,22.50704913153966,19.00190557370587,51644,133.99777778,-446.27722223
Arkansas,118594,322,17083.0,4308.0,457.0,110.0,238549.0,10126.281016483787,16.85426283109109,11.062467745587917,19.620840832459386,14.060666315609616,10.004956151398789,44312,104.4675,-280.53055555000003
California,4442767,14487,4451001.0,934650.0,72561.0,8304.0,50659675.0,19113065.962125767,140.45825212950507,94.64778764293159,174.49939664087333,126.5405954086379,98.22266692449875,253731,683.77305559,-2282.1005555499996
Colorado,1164865,3768,1797350.0,319220.0,30323.0,5497.0,17936969.0,7004794.571331302,45.88218029946029,30.596063442246155,59.20547096294742,39.8041105918821,34.89347325746648,81112,272.22027778,-747.53138889
Connecticut,86539,258,16982.0,4127.0,410.0,61.0,223704.0,35758.9336221831,11.553793616987942,6.8607815802584895,11.647597868572724,9.967518328957247,10.435934099607557,22773,83.20388889,-145.57166666
Florida,3410419,10469,2570463.0,536859.0,37296.0,7301.0,31394528.0,10682371.802083815,159.06919186168426,96.57322674754379,205.0485530709308,138.3257193879054,107.03715862884826,254267,534.2644444499999,-1567.03333335
Georgia,1140523,3722,4222231.0,798309.0,67653.0,9168.0,48669467.0,13678172.310785407,39.29609377223015,27.655913560725196,46.506181585643304,35.30087769876042,26.096350810135096,61628,161.17861111,-412.33749998999997
Hawaii,185285,543,169549.0,17815.0,548.0,184.0,828966.0,131582.99751722883,8.375435543538977,4.554025071471255,8.217689643966539,7.824535961415844,4.465801406070645,64145,103.66083334,-784.80555556
Idaho,82401,256,19921.0,4528.0,335.0,179.0,250032.0,51115.89019789556,5.386462783447423,4.675554786325041,7.256379245291445,4.885383953553899,3.3524916925498194,52147,173.49888889,-455.19249999
Illinois,1916615,6212,4270081.0,917197.0,128270.0,12608.0,60090124.0,21487939.691672783,49.34765783775973,39.415958815831,61.36208162643137,47.39944522282877,30.396642834048702,80656,245.75722222999997,-533.80888888
Indiana,171057,476,50398.0,10450.0,864.0,158.0,595416.0,134533.84553222233,14.343573654971621,8.845459809114052,20.058901163927295,12.186181879509093,9.300214073933022,50470,160.44833333,-345.31472223
