AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,AIRPORT_STATE_NAME,DISPLAY_CITY_MARKET_NAME_FULL,LATITUDE,LONGITUDE,Unnamed: 9
10001,01A,Afognak Lake Airport,"Afognak Lake, AK",United States,Alaska,"Afognak Lake, AK",58.10944444,-152.90666667,
10003,03A,Bear Creek Mining Strip,"Granite Mountain, AK",United States,Alaska,"Granite Mountain, AK",65.54805556,-161.07166667,
10004,04A,Lik Mining Camp,"Lik, AK",United States,Alaska,"Lik, AK",68.08333333,-163.16666667,
10005,05A,Little Squaw Airport,"Little Squaw, AK",United States,Alaska,"Little Squaw, AK",67.57,-148.18388889,
10006,06A,Kizhuyak Bay,"Kizhuyak, AK",United States,Alaska,"Kizhuyak, AK",57.74527778,-152.88277778,
10007,07A,Klawock Seaplane Base,"Klawock, AK",United States,Alaska,"Klawock, AK",55.55472222,-133.10166667,
10008,08A,Elizabeth Island Airport,"Elizabeth Island, AK",United States,Alaska,"Elizabeth Island, AK",59.15694444,-151.82916667,
10009,09A,Augustin Island,"Homer, AK",United States,Alaska,"Homer, AK",59.36277778,-153.43055556,
10010,1B1,Columbia County,"Hudson, NY",United States,New York,"Hudson, NY",42.28888889,-73.71027778,
10010,1B1,Columbia County,"Hudson, NY",United States,New York,"Hudson, NY",42.29138889,-73.71027778,
10011,1G4,Grand Canyon West,"Peach Springs, AZ",United States,Arizona,"Peach Springs, AZ",35.99027778,-113.81638889,
10011,1G4,Grand Canyon West,"Peach Springs, AZ",United States,Arizona,"Peach Springs, AZ",35.98611111,-113.81694444,
10011,1G4,Grand Canyon West,"Peach Springs, AZ",United States,Arizona,"Peach Springs, AZ",35.99027778,-113.81638889,
10011,1G4,Grand Canyon West,"Peach Springs, AZ",United States,Arizona,"Peach Springs, AZ",35.98611111,-113.81694444,
10012,1N7,Blairstown Airport,"Blairstown, NJ",United States,New Jersey,"Blairstown, NJ",40.97111111,-74.9975,
10013,8F3,Crosbyton Municipal,"Crosbyton, TX",United States,Texas,"Crosbyton, TX",33.62388889,-101.24083333,
10014,A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",United States,Alaska,"Fairbanks, AK",64.36416667,-147.36138889,
10014,A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",United States,Alaska,"Fairbanks, AK",64.36361111,-147.36388889,
10015,A02,Deadmans Bay Airport,"Deadmans Bay, AK",United States,Alaska,"Deadmans Bay, AK",57.06666667,-153.93777778,
10016,A03,Hallo Bay Airport,"Hallo Bay, AK",United States,Alaska,"Hallo Bay, AK",58.4575,-154.02333333,
10017,A04,Red Lake Airport,"Red Lake, AK",United States,Alaska,"Red Lake, AK",57.27722222,-154.34222222,
10018,A05,Shell Lake Airport,"Shell Lake, AK",United States,Alaska,"Shell Lake, AK",61.96388889,-151.55583333,
10019,A06,Navigator Airstrip,"Kougarok, AK",United States,Alaska,"Kougarok, AK",65.65555556,-165.35638889,
10020,A07,Roland Norton Memorial Airstrip,"Selawik, AK",United States,Alaska,"Selawik, AK",66.76583333,-160.1525,
10020,A07,Roland Norton Memorial,"Selawik, AK",United States,Alaska,"Selawik, AK",66.76611111,-160.15277778,
10021,A08,Pillar Bay Airport,"Pillar Bay, AK",United States,Alaska,"Pillar Bay, AK",56.59805556,-134.24277778,
10022,JOH,Johnstone Point Airport,"Johnstone Point, AK",United States,Alaska,"Johnstone Point, AK",60.48138889,-146.58222222,
10022,A09,Johnstone Point Airport,"Johnstone Point, AK",United States,Alaska,"Johnstone Point, AK",60.48222222,-146.58222222,
10022,A09,Johnstone Point Airport,"Johnstone Point, AK",United States,Alaska,"Johnstone Point, AK",60.48166667,-146.58416667,
10022,A09,Johnstone Point Airport,"Johnstone Point, AK",United States,Alaska,"Johnstone Point, AK",60.48222222,-146.58222222,
